State/Province,City,Donation Amount
WI,madison,51.8
WI,madison,51.8
WI,madison,25.0
WI,madison,25.0
WI,madison,110.0
WI,oregon,25.0
WI,madison,26.06
WI,madison,51.8
SC,charleston,120.0
WI,madison,103.3
WI,sun prairie,260.46
WI,lodi,103.3
